token	number	frequency
shadow	singular	157767
dispute	singular	52239
citizen	singular	65525
disk	singular	13437
glory	singular	200815
crew	singular	107969
suggestions	plural	33781
lesions	plural	2929
comment	singular	41761
honor	singular	183341
sectors	plural	1747
dollar	singular	55714
clay	singular	92013
lesson	singular	83523
organisation	singular	17125
discharge	singular	52106
manuscript	singular	43124
intent	singular	47324
professor	singular	179235
publications	plural	17743
ions	plural	2142
correspondence	singular	65763
departure	singular	108203
directors	plural	20364
gifts	plural	74666
emotion	singular	93385
acres	plural	59130
soldier	singular	169264
interviews	plural	8823
chart	singular	18387
inventory	singular	6315
calculations	plural	16507
businesses	plural	3323
margin	singular	37128
dozen	singular	157154
ion	singular	4536
contacts	plural	3128
descriptions	plural	28806
investments	plural	5703
throat	singular	116103
definitions	plural	7841
attorney	singular	39375
beach	singular	78880
electrons	plural	2435
wives	plural	81031
port	singular	140504
spaces	plural	24992
artery	singular	7754
fever	singular	101256
enthusiasm	singular	91527
lists	plural	22439
calculation	singular	19585
households	plural	6195
bottle	singular	88925
tip	singular	43346
assignment	singular	5847
yield	singular	82836
photographs	plural	21906
corn	singular	135604
ties	plural	27764
immigrants	plural	10202
pipe	singular	110088
controversy	singular	35477
servant	singular	206496
harm	singular	107789
holes	plural	67981
guard	singular	206508
male	singular	124696
visitors	plural	64220
lessons	plural	63944
drink	singular	205638
tract	singular	31923
politicians	plural	19907
filter	singular	6395
bands	plural	51322
myth	singular	20809
usage	singular	24630
infants	plural	14281
origins	plural	4404
tribes	plural	101903
favour	singular	142978
segments	plural	9979
teams	plural	13819
praise	singular	124219
stomach	singular	61594
producers	plural	5505
versions	plural	11179
investigations	plural	20860
passages	plural	73402
shore	singular	252457
peasants	plural	41475
suicide	singular	26161
hospitals	plural	22186
desert	singular	117955
fibers	plural	4686
bases	plural	15488
economies	plural	3117
fears	plural	76304
carrier	singular	16634
sacrifice	singular	134610
peak	singular	31373
sympathy	singular	146763
dates	plural	38631
harmony	singular	67606
excess	singular	43507
pilot	singular	42578
fragments	plural	58427
priests	plural	105532
scales	plural	31481
deficiency	singular	13365
proposition	singular	58641
rays	plural	65293
truck	singular	14515
challenges	plural	3699
remarks	plural	102218
environments	plural	1923
pace	singular	70279
tour	singular	42787
sessions	plural	11911
admission	singular	41475
innovation	singular	7848
exceptions	plural	27761
excitement	singular	148328
web	singular	20127
inspection	singular	34961
dignity	singular	121634
restaurant	singular	19188
wedding	singular	77445
alliance	singular	52563
hopes	plural	135658
defects	plural	24431
shot	singular	270995
actor	singular	31571
guests	plural	98609
daughters	plural	86222
succession	singular	76525
physicians	plural	29883
sisters	plural	93034
damages	plural	11477
count	singular	228087
crimes	plural	46307
sequences	plural	2033
lots	plural	50100
grant	singular	149780
salary	singular	31861
injection	singular	4376
illustration	singular	533675
lung	singular	8353
lawyers	plural	29276
mouse	singular	34267
provinces	plural	72120
shirt	singular	55230
bars	plural	51258
warning	singular	90931
fathers	plural	95238
votes	plural	32123
lens	singular	12793
farms	plural	29562
defeat	singular	67883
egg	singular	69459
ministers	plural	82635
infant	singular	58416
knees	plural	125169
expenditures	plural	20685
asset	singular	3622
clock	singular	80603
accumulation	singular	15202
clouds	plural	130946
sheets	plural	43536
tank	singular	23660
cord	singular	37364
calls	plural	115449
deviation	singular	6068
violation	singular	19107
rubber	singular	29671
railroad	singular	84482
bits	plural	42114
colleges	plural	21340
committees	plural	14999
farmer	singular	98567
ceremony	singular	77919
physics	plural	12919
ladies	plural	244124
knife	singular	114135
codes	plural	4878
combinations	plural	20296
fortune	singular	223332
metals	plural	25369
injuries	plural	20357
attachment	singular	36207
fruits	plural	71122
ideal	singular	91095
molecule	singular	3345
peasant	singular	52352
nodes	plural	1568
prospect	singular	81098
railway	singular	105340
declaration	singular	60002
soils	plural	10859
barrier	singular	31492
ministry	singular	54044
demonstration	singular	28512
manufacturers	plural	16125
advances	plural	27090
photograph	singular	34392
traits	plural	19708
modification	singular	17230
neighbors	plural	48651
repair	singular	39455
publisher	singular	20874
planes	plural	15064
perceptions	plural	9862
disaster	singular	42046
targets	plural	4083
barriers	plural	12492
powder	singular	82628
witnesses	plural	53989
infections	plural	1085
chains	plural	45194
reproduction	singular	17555
explanations	plural	22747
creatures	plural	108956
rhythm	singular	16664
cloud	singular	122776
beer	singular	51340
centres	plural	18086
interpretations	plural	6241
stroke	singular	65296
exploration	singular	14539
motives	plural	59520
representations	plural	20809
beds	plural	72467
entities	plural	3135
collections	plural	24367
weapon	singular	60970
creature	singular	164494
premises	plural	24740
ratios	plural	1408
nurses	plural	19715
makers	plural	23164
rows	plural	49121
operators	plural	5258
distress	singular	76284
sword	singular	199291
mineral	singular	27832
shops	plural	45005
bedroom	singular	45340
affection	singular	132023
portions	plural	54274
palace	singular	189720
foundations	plural	32462
suffering	singular	149287
portrait	singular	83690
requests	plural	10582
stem	singular	51298
label	singular	8967
grants	plural	15527
node	singular	1284
tragedy	singular	64184
legislature	singular	48992
deck	singular	144862
lover	singular	123043
territories	plural	27647
chances	plural	52602
fabric	singular	20419
deaths	plural	33537
aggression	singular	7530
stairs	plural	128465
preferences	plural	3220
canal	singular	64055
inspiration	singular	51452
expedition	singular	126330
limitation	singular	11941
terror	singular	133973
angles	plural	34407
fiber	singular	6620
stocks	plural	22039
mill	singular	87051
uncle	singular	303234
similarity	singular	14682
perspectives	plural	1056
corruption	singular	34315
kings	plural	145273
healing	singular	24308
glance	singular	189656
horizon	singular	64479
bowl	singular	43732
surveys	plural	6727
proportions	plural	36388
sport	singular	61974
disputes	plural	23547
flag	singular	100699
vein	singular	25009
reception	singular	66008
mention	singular	150104
exercises	plural	35693
pot	singular	67759
mice	plural	19743
treatments	plural	1206
museum	singular	69790
amendment	singular	28855
farming	singular	21320
grades	plural	13993
expectation	singular	43694
entertainment	singular	40944
speakers	plural	13249
masters	plural	94467
episode	singular	22179
compromise	singular	30461
patent	singular	40420
ceiling	singular	36383
invention	singular	55575
revenues	plural	19514
tumor	singular	2633
bath	singular	75094
streams	plural	65803
phrases	plural	32264
suspicion	singular	98847
nights	plural	89633
disposition	singular	87405
voters	plural	10292
trace	singular	89877
cabinet	singular	65114
complications	plural	9907
grief	singular	124797
escape	singular	246256
distances	plural	27613
correction	singular	15168
manufacturer	singular	11923
factories	plural	20123
con	singular	26700
ideals	plural	29008
tribe	singular	94340
honour	singular	236987
shelter	singular	90875
award	singular	6472
defect	singular	21212
certainty	singular	55667
assault	singular	42874
editors	plural	15496
revelation	singular	58742
buyer	singular	7144
tubes	plural	22384
timber	singular	67197
craft	singular	74050
camps	plural	23819
emission	singular	1908
continent	singular	72247
sensation	singular	65139
flower	singular	143337
companion	singular	178602
penalty	singular	34722
spouse	singular	11795
magazines	plural	17892
deposit	singular	25383
disability	singular	3667
preparations	plural	65725
gesture	singular	59380
switch	singular	14989
stranger	singular	182942
strains	plural	17771
planet	singular	37324
producer	singular	12608
guest	singular	82474
destination	singular	29565
petition	singular	40300
piano	singular	48757
aims	plural	24136
entries	plural	9204
pupil	singular	49070
cavity	singular	21298
prediction	singular	9864
prospects	plural	29889
projection	singular	10279
mercy	singular	147426
specification	singular	2183
tumors	plural	2007
metaphor	singular	8031
analogy	singular	19612
guys	plural	3560
objection	singular	62976
comparisons	plural	8108
settlements	plural	32389
philosophers	plural	35659
mistakes	plural	27851
knee	singular	68099
pension	singular	20621
supporters	plural	15743
restriction	singular	9001
restoration	singular	42499
dangers	plural	51625
studio	singular	24584
certificate	singular	16002
motive	singular	69534
borders	plural	37531
engagement	singular	61842
encouragement	singular	38516
failures	plural	13718
routes	plural	13195
settlers	plural	39142
installation	singular	5075
commands	plural	50010
prince	singular	402954
horror	singular	102002
rulers	plural	31323
fur	singular	67236
brick	singular	54150
administrators	plural	3137
achievements	plural	19103
juice	singular	40775
grammar	singular	31149
decay	singular	37847
meals	plural	32177
ports	plural	39821
minerals	plural	12121
spots	plural	51383
scholar	singular	43170
flame	singular	96992
assertion	singular	37784
cousin	singular	156694
prayers	plural	86638
gardens	plural	85350
hostility	singular	26590
ruler	singular	39987
prisoner	singular	135244
inheritance	singular	38703
seller	singular	8515
conventions	plural	13419
lecture	singular	44042
virtues	plural	64856
organisations	plural	1955
ancestors	plural	51429
performances	plural	19138
clubs	plural	31572
tracks	plural	38578
illustrations	plural	74617
babies	plural	26345
couples	plural	10432
